Library_Name,URL,Address,Business_Hour,Phone_Number
易读宝双语有声绘本馆,https://www.dianping.com/shop/H6HR2yJambV1Da0B,万达金街二楼A区05-02室易读宝有声绘本馆,,
禹城市优丫漫绘本馆,https://www.dianping.com/shop/laDYDADGIBPTCgc7,阳光地中海北门,周二至周日 08:00-11:30 15:00-19:30,18315889908
蜗牛悦读馆(紫御国都店),https://www.dianping.com/shop/G3e9dyNVHd9syLj3,东地南路紫御国都,,18866021665
萌卡纳儿童绘本创作馆(乐陵总店),https://www.dianping.com/shop/G4hC5WmeOi7du7R1,枣城北大街176号,,18866038767
萌卡纳绘本馆(渤海路店),https://www.dianping.com/shop/Ga4OWb8ttczghCiS,渤海路开元府邸高层楼下,,
奥尼爷爷中英文绘本馆(平原店),https://www.dianping.com/shop/Ha8YUBaSuEE91oXg,平安东大街湖滨花苑（琵琶湾东路),周二至周日 09:00-12:00 15:00-19:30,13406858352
小书虫绘本馆,https://www.dianping.com/shop/H26cF62C0jjTe3y5,砚池街舜泉名邸（夏津华夏医院南),,
老约翰绘本馆(德州市区站),https://www.dianping.com/shop/H1a5eAGAjXbYI8Ur,建新街天宝嘉园商右B5号,周一至周日 08:00-11:30 14:30-18:30,13326268728
