Library_Name,URL,Address,Business_Hour,Phone_Number
老约翰绘本馆(满达东街店),https://www.dianping.com/shop/G1Vfdn9wrHuwAse4,集宁新区维邦世基商业A座暑都商务酒店七层,,13514748886
乐读绘本馆,https://www.dianping.com/shop/H385oRyAj0PriEPU,大庆东街三和小区北侧约40米,,15598527124
